# Quantum Hall

date: 2015/11/18 13/44/09
current: 1e9A
gate: 0.080V

B (T); Vxx (V); Vxy (V)
3.950000000000000178e-01; 1.262523999999999798e-06; 7.315019999999999549e-07
3.960000000000000187e-01; 1.265826000000000101e-06; 7.313459999999999897e-07
3.980000000000000204e-01; 1.271503999999999922e-06; 7.312899999999999262e-07
4.000000000000000222e-01; 1.276460000000000142e-06; 7.314080000000000071e-07
4.010000000000000231e-01; 1.281109999999999962e-06; 7.312160000000000011e-07
4.020000000000000240e-01; 1.285932000000000083e-06; 7.315339999999999912e-07
4.030000000000000249e-01; 1.289869999999999942e-06; 7.323840000000000550e-07
4.050000000000000266e-01; 1.294923999999999903e-06; 7.310679999999999392e-07
4.069999999999999729e-01; 1.299534000000000101e-06; 7.313419999999999852e-07
4.079999999999999738e-01; 1.304084000000000125e-06; 7.310879999999999619e-07
4.089999999999999747e-01; 1.307929999999999986e-06; 7.314400000000000434e-07
4.109999999999999765e-01; 1.312746000000000153e-06; 7.311559999999999331e-07
4.119999999999999774e-01; 1.317712000000000014e-06; 7.309919999999999589e-07
4.139999999999999791e-01; 1.322305999999999982e-06; 7.311939999999999233e-07
4.149999999999999800e-01; 1.326236000000000045e-06; 7.308419999999999476e-07
4.159999999999999809e-01; 1.331030000000000028e-06; 7.309740000000000973e-07
4.179999999999999827e-01; 1.336044000000000155e-06; 7.311499999999999792e-07
4.189999999999999836e-01; 1.339462000000000060e-06; 7.310259999999999445e-07
4.199999999999999845e-01; 1.345099999999999835e-06; 7.308459999999999522e-07
4.219999999999999862e-01; 1.350021999999999964e-06; 7.307319999999999817e-07
4.229999999999999871e-01; 1.354487999999999999e-06; 7.308579999999999658e-07
4.249999999999999889e-01; 1.357588000000000020e-06; 7.322699999999999787e-07
4.259999999999999898e-01; 1.363263999999999997e-06; 7.308399999999999983e-07
4.269999999999999907e-01; 1.367962000000000083e-06; 7.306439999999999878e-07
4.289999999999999925e-01; 1.373038000000000016e-06; 7.309339999999999461e-07
4.309999999999999942e-01; 1.375864000000000097e-06; 7.316799999999999979e-07
4.319999999999999951e-01; 1.381571999999999899e-06; 7.306119999999999515e-07
4.329999999999999960e-01; 1.386715999999999803e-06; 7.307300000000000324e-07
4.339999999999999969e-01; 1.391377999999999954e-06; 7.307140000000000143e-07
4.359999999999999987e-01; 1.395903999999999951e-06; 7.318740000000000591e-07
4.380000000000000004e-01; 1.399996000000000038e-06; 7.306580000000000566e-07
4.390000000000000013e-01; 1.404761999999999884e-06; 7.308180000000000263e-07
4.400000000000000022e-01; 1.409463999999999868e-06; 7.306380000000000340e-07
4.420000000000000040e-01; 1.412736000000000190e-06; 7.319099999999999940e-07
4.430000000000000049e-01; 1.418281999999999968e-06; 7.304919999999999213e-07
4.450000000000000067e-01; 1.423170000000000004e-06; 7.305859999999999750e-07
4.460000000000000075e-01; 1.427490000000000033e-06; 7.306399999999999833e-07
4.470000000000000084e-01; 1.431587999999999862e-06; 7.314059999999999519e-07
4.490000000000000102e-01; 1.436325999999999993e-06; 7.305539999999999387e-07
4.510000000000000120e-01; 1.441163999999999921e-06; 7.304299999999999040e-07
4.520000000000000129e-01; 1.446470000000000061e-06; 7.305660000000000582e-07
4.530000000000000138e-01; 1.449513999999999807e-06; 7.303479999999999698e-07
4.540000000000000147e-01; 1.455170000000000079e-06; 7.305139999999999992e-07
4.560000000000000164e-01; 1.460795999999999947e-06; 7.305460000000000355e-07
4.580000000000000182e-01; 1.465023999999999977e-06; 7.302000000000000138e-07
4.590000000000000191e-01; 1.468412000000000113e-06; 7.310900000000000171e-07
4.600000000000000200e-01; 1.474703999999999942e-06; 7.303420000000000160e-07
4.620000000000000218e-01; 1.479071999999999812e-06; 7.302619999999999252e-07
4.630000000000000226e-01; 1.484041999999999995e-06; 7.304640000000001014e-07
4.650000000000000244e-01; 1.487477999999999974e-06; 7.303719999999999970e-07
4.660000000000000253e-01; 1.493256000000000014e-06; 7.301420000000000009e-07
4.670000000000000262e-01; 1.497817999999999946e-06; 7.304899999999999720e-07
4.689999999999999725e-01; 1.502556000000000078e-06; 7.304320000000000651e-07
4.709999999999999742e-01; 1.507353999999999959e-06; 7.305839999999999198e-07
4.719999999999999751e-01; 1.510924000000000037e-06; 7.302840000000000031e-07
4.729999999999999760e-01; 1.515733999999999827e-06; 7.303800000000000061e-07
4.749999999999999778e-01; 1.520521999999999856e-06; 7.302319999999999442e-07
4.759999999999999787e-01; 1.525839999999999904e-06; 7.302259999999999903e-07
4.779999999999999805e-01; 1.529640000000000190e-06; 7.298839999999999731e-07
